kurt_R,lbp_9,humoment_2,humoment_1,lbp_8,skew_B,mean_B,kurt_B,std_B
5.085927552736703,23363.0,3.160274158925488e-06,0.0028994666130542,24222.0,2.928832336866304,68.06827128999748,10.610972526264112,44.43792088422928
2.718220636308459,22002.0,7.687117158106964e-07,0.0015987628059708,24108.0,0.4401118953894783,71.20882936507937,2.824612200303085,54.512895387829474
2.044610017197952,23722.0,1.0351813745535437e-06,0.0019098852758035,25578.0,0.6384422733348639,50.29376889644747,6.307281903049324,39.42878821108759
3.742798984696699,18069.0,7.568311856588898e-07,0.0015923574252331,21458.0,0.4913582496398485,67.741264329806,2.4394699477809136,61.56713440681804
3.237354687629257,17018.0,5.703832340716745e-07,0.001454726544103,21373.0,0.0997397417591342,85.74307917611489,2.2770727674983706,54.87707720085521
2.7760034450902284,18973.0,8.399035798138571e-07,0.0016756681269021,22384.0,0.68670582595091,66.08127047115143,3.738159559346627,50.3426191989462
2.404610300350475,19687.0,1.201249399086914e-06,0.002068452577075,23419.0,1.2960986721316512,39.70413674729151,10.260635593299051,32.701683015032174
2.7306957958057776,16942.0,7.385188279910802e-07,0.0017053358964766,20628.0,0.5546729196891398,64.34746236457546,3.980839806582479,46.44630459507912
1.944232504538454,16557.0,7.76085165247881e-07,0.0017813071114455,20269.0,-0.5325347243596924,55.285627676996725,6.917937633386001,33.42776145553679
1.8136765300206643,24019.0,1.1102049548325524e-06,0.002083453486591,25418.0,-0.0208426531388701,51.03663548752834,9.13481467884015,30.35079111045872
6.06706358842554,20980.0,4.557094853049017e-07,0.0014154997436316,23778.0,0.5704841884286173,92.99350434618292,2.83415160898617,51.80050841112981
3.400481912650982,23333.0,1.803867172981106e-06,0.0025897359917171,24953.0,5.025458638592226,41.23977229780801,43.923769127315225,16.83650969817856
1.6850599944366818,21962.0,1.530070515955098e-06,0.0023825183199709,24321.0,0.8247775638593065,47.17776045603426,15.46294580896812,19.1983203616835
1.745528192369603,20275.0,1.503443841660496e-06,0.0022345857350325,23517.0,1.1276899713517636,42.72267494960948,21.098002494075704,20.626704030022548
4.364766105766674,21412.0,1.23587457677238e-06,0.0020576504383601,24254.0,1.350883122420669,56.14760881204334,8.839933330917365,31.101658271435777
1.4321414101963736,21972.0,7.769734339107082e-07,0.0017976129131,24058.0,-0.1559980434765887,56.72109237213404,9.26546348612031,31.17294438107703
1.2195823508248915,23107.0,8.120814238446305e-07,0.0018857275795061,24791.0,0.6849824934210061,63.0509731670446,15.906767643122288,25.082161380895403
1.4572081425212255,18301.0,8.371425573385269e-07,0.0017981598563255,21848.0,0.2343198107561357,68.63044060216679,6.922275446683195,44.70980218576911
3.980671012802465,23927.0,2.931484383771654e-07,0.0010806871726905,25886.0,-1.630602620880467,101.31111819727892,6.736410287203628,31.83984041928001
1.2251440186966442,19667.0,1.243918842174463e-06,0.0020235941235761,22440.0,1.5880545870526594,47.96019148400101,14.519960734999634,29.07464491198671
4.099365621419211,18126.0,2.873618844576219e-07,0.0010159229082466,21302.0,-1.835715521399582,118.43031147644244,8.000731376662856,34.249630711179094
2.654208602377971,19218.0,1.0667989866744005e-06,0.0018699648016294,22767.0,0.8602137361960172,44.83800626732175,5.394166419871874,43.89452235005289
