pca_1,pca_2
-2494.3357791418293,-19.901269655366168
-2563.757988050433,-38.69970644521144
-2489.1074444198453,-29.473469511704145
-2230.8755641170696,23.40274648072425
-2556.7864903257214,-33.275888029713286
-2557.828492443333,-34.09391232677675
-2285.709753170685,44.371181455703
-2464.323362434597,-4.8494669217184585
-2561.2072951352584,-28.92935577720521
51670.26057872271,-2261.297778954085
-1557.9736118337191,103.57276441947512
-2536.643600348538,-29.69314377399081
-905.1581371900435,190.59851286301495
-2493.435570722891,-25.86990788219731
-5.08685245795754,366.3646956573928
-2572.1585370307685,-33.14477284233274
-2556.174474249422,-36.76641033119165
-2497.8717139787263,-30.531148598226576
-2565.8510589551647,-32.56163696864501
-2608.9232455046867,-37.828040833600504
-2533.208773733394,-29.014617439265226
56974.962174884036,-705.7283684253396
-2324.4063561361395,27.05221013002688
86486.62077688886,-3399.0007726792564
-2123.9017597190646,56.67412567747951
106528.07807782012,-501.85221258756786
18654.57998500755,-2368.044801842316
-1625.7964453930929,-139.38717087303866
-2246.981903533917,13.271292170143763
-2547.9568860969484,-32.836616396950284
-2231.328456326996,11.195781636702629
91938.18897723775,-791.3071497901653
1565.7569138353142,-760.7211589277531
36928.356155913854,-1160.303620852772
111742.70847558296,1163.918874305404
-2501.8993782351313,-20.21853057896699
104970.46919880642,1216.0051709267389
-466.62988600807597,-224.2810982574252
9578.898072793552,-1482.3046363339372
-2066.586624081942,-7.285586847377973
-987.8263726307508,228.9877510682458
-383.15711830808095,-88.06313480218171
25456.612812493644,-2850.9270059997775
14544.875670935897,-3022.284584487868
42349.366264351345,-1896.921777786144
-2580.8004708343437,-34.43058725973471
-2516.589290392145,-36.09751911988022
-2429.8443255651337,-26.93258566735363
-2503.70742856829,-26.640943337551647
-2549.8674479874558,-30.03749103647224
-2525.7058324176187,-27.587751443522798
-2463.1752186325043,-12.539271346797076
-2477.9058505349976,-20.630693272726234
-2376.3776759646703,-3.05282767243118
-2384.852538267325,-5.347125376433712
3363.890077377931,948.5203745765733
-2481.289733615142,-27.548679908356817
-2183.189664234062,36.741389462583086
-2549.6524153584282,-33.39729316370982
49959.48201614989,-3276.707123914718
19174.998039718477,-669.8927367505677
-2074.3492719251362,40.440496956727344
-2582.7002872197077,-40.225159847065406
-2497.3762345844857,-3.8647897046579196
921.3519775748572,119.06022776649374
-1876.0236392015777,30.469745975215627
-2549.83023703517,-33.705346691575166
1798.553786196498,845.9602776404844
-2064.4942799704877,22.306653170159706
829.776181197738,695.9691355984775
-2562.0081410056905,-35.05165660152358
-2330.778007400749,-14.575556947942305
2981.9904147088805,714.5763994491108
-2319.0403587342944,14.896339066483172
-2386.3005040014077,-10.151734535723879
3449.241680747129,779.536250596553
6745.226860780438,1338.526412457388
-2437.5149016157307,-17.256106211251517
-2537.896759343808,-30.418050579203392
-701.1012614419823,357.23903095647677
1684.34207210484,575.5820675686634
-2506.600132761511,-31.589580331433996
-1946.1440925115303,68.40721767741795
2614.25933622932,689.5444657155091
-1185.1535208271962,134.69527128761206
-2221.428212478533,1.4187698013206747
6737.580867729558,1022.6891311564748
17.184736065204007,255.07370763530378
-2480.8134181744945,-37.231491009348034
5444.1458055966,397.39367975787604
-1912.631180718119,84.72929606544118
-1450.5746222568805,130.45821971532715
-2064.260774202601,73.77009157304707
-1091.1123021554963,231.10530195862322
-2086.6569470744507,29.405965357332043
-2044.6339664284724,59.99305780491772
-1198.1035061714092,183.28651044679208
-2150.080822454938,23.746891971498737
-1847.9577840214008,-73.41979908730907
-1822.2404679021633,88.00935897711302
3201.068198826461,235.3210733234783
-2540.7652288536174,-29.70005948297341
-2551.5564852933676,-35.005351247711005
-2590.4505820690993,-37.37204462589583
-2330.2135756951325,6.059349711420765
-2487.5391446665903,-23.524430032126464
-2498.438338265182,-23.089286371044956
-2389.053278959343,-3.9152642992532005
-2148.743875693787,11.708172798195978
-2414.1272102924327,-19.4448606724405
-2411.7593779563663,-10.6498453072486
-2551.3355497581706,-31.429531127272917
-2494.0614532068676,-23.714383236193854
-2386.552805126589,-14.939421922632034
-2479.8145955739524,-23.432183321478572
-2519.150458650257,-27.279386843896237
-2547.6281652944303,-33.16340511414998
-2348.6282337542257,-2.019500474719538
-2310.1838134379673,8.925763283157522
-2473.434300659773,-25.7223517095788
-2423.462356632544,-19.58431901442745
-2520.0898415572515,-27.043976120847642
99422.33245540645,-130.1649726573851
-2386.5370748561795,-5.198715967613256
-2552.5054342682683,-32.483799930945914
-2469.575447610566,-26.46624948213695
-2273.7595417691414,2.3817859858813115
-2447.1033042368886,-20.472464960369752
-2489.026688168231,-23.922084725444876
-2489.3810254194727,-17.28788861446728
-2348.386901714573,-5.212352034543763
-2117.009907988068,25.819561355797312
-2144.4844159712547,29.845592421523182
-1333.7607577318581,142.62366871282458
-2603.3905785252223,-33.25931567855042
-2421.6540801758947,-17.334845444905312
-2144.61564566314,22.838396390934374
-2309.7189711203273,-2.2854428530165958
79788.53682393374,-529.4255643325116
-2340.5335965395043,-5.6808784612288985
-2301.58089375137,-1.197050208975192
-2055.7182372955613,35.16359535140188
-2344.608554974359,-3.7309881069352437
70885.81711031342,-1069.8526156791952
-2388.34643197793,-10.810432881795998
-2318.657958117264,0.07358211619876945
-2307.8005855682245,-2.730469534338894
-2337.438942628453,-7.756465143971659
-2342.1932572958267,-7.658999086896036
-2424.771676843354,-18.298401300666924
-2361.769740000351,-7.761020529630718
-1988.30336842351,46.32243770240791
-2246.5319113270357,10.251086221255049
-2271.3977903899818,6.526171132247798
-2449.9128862931625,-18.72813125916413
-2374.909727085018,-7.282751853076156
-2321.886399388941,-4.435293442336555
-2544.060488961128,-33.26161073863295
-2293.15419045079,7.404437820975749
-2480.015826078062,-23.519400049036502
-2003.6653538176547,37.12934312556005
-2233.885281447965,15.013037385278233
-1922.5848661830446,51.99241451039297
-1729.0387883256567,76.5894400848463
-2484.361931609233,-27.63513777496803
-1642.5041155864326,98.90099076664394
-818.5243005185511,209.62139019834297
-2238.0684237047194,14.445250364015052
-2396.665535028491,-7.591375348080967
-2004.7007219600082,49.18420533478499
-2380.422130068604,-9.978500134900912
-2172.422541509932,21.831266471568753
-1551.1027884757139,127.17511765421783
-2512.1403925095865,-28.17161360975894
-994.2043853470296,199.28226181954486
-1908.90142467816,72.51320984411107
-1430.3730586990998,135.146946392834
-751.5670477979457,236.31696928113936
-2023.6664406725743,61.44395331169425
-1638.7250547416645,117.72587117419876
-1441.5731375618957,140.64285903337776
-1494.6998107588367,124.45513411983849
-1137.2843882811312,185.65034225496527
-2381.9926476848545,-11.453175808847082
-1898.0111925977535,62.75951799647762
-2525.221797363338,-28.13045366190456
-2567.536384667023,-34.153432054038205
-2318.9537996699287,5.686857574057723
-2534.3877254488266,-35.29138027897321
-2555.2624391244744,-26.524872425666555
-1813.7825816162117,75.21883679012231
-2560.614754793566,-32.59771305202151
